DATE REPORTED,Day Prior,Closing Price Day Of,Five Day Forward,Movement 1,Signal 1 ,Movement 2,Signal 2
43678,317.880005,341.390015,357.809998,0.073958757,1,0.125613415,1
43585,225.789993,243.529999,258.690002,0.07856861,1,0.14571066,1
43508,173.169998,175.550003,179.210007,0.013743749,0,0.034879073,0
43398,122.269997,136.990005,144.350006,0.120389371,1,0.180584032,1
43312,148.080002,138.210007,141.679993,-0.066653126,-1,-0.043219941,0
43221,133.630005,127.68,143.309998,-0.044525966,0,0.072438769,1
43146,137.559998,137.949997,137,0.002835119,0,-0.004070936,0
43039,109.360001,99.489998,99.709999,-0.090252404,-1,-0.08824069,-1
42948,92.370003,104.080002,96.510002,0.126772747,1,0.044819734,0
42857,77.260002,82.980003,89.150002,0.074035735,1,0.153895932,1
42781,56.049999,60.610001,62.73,0.081355969,1,0.119179324,1
42676,40.779999,43.57,40.580002,0.068415916,1,-0.004904291,0
42585,33.529999,36.790001,39.290001,0.097226427,1,0.171786525,1
42494,30.74,29.610001,26.27,-0.036759889,0,-0.145413142,-1
42417,20.5,22.370001,21.02,0.091219561,1,0.025365854,0
42312,31.440001,31.75,28.18,0.009860019,0,-0.103689596,-1
42215,34.16,38.130001,36.279999,0.116217828,1,0.062060861,1
43717,380.420013,358.670013,0,-0.057173648,-1,-1,-1
